schoolName,School City,Business Name,Business Address,Business Phone,Business Rating,Distance from School
St Ignatius Martyr School,Austin,Austin Eats Food Tours,,15129634545,5.0,1587.993813297580
St Ignatius Martyr School,Austin,St. Ignatius Martyr Catholic Church,126 W Oltorf St,15124423602,5.0,133.1669619482320
St Ignatius Martyr School,Austin,Mainspring Schools,1100 W Live Oak St,15124422301,5.0,1333.029015808490
St Ignatius Martyr School,Austin,CLUBWAKA - Austin,2504 Durwood St,18552582925,4.0,549.6975205012530
St Ignatius Martyr School,Austin,Lone Star Riverboat,208 Barton Springs Rd,15123271388,4.5,2439.186779077610
St Ignatius Martyr School,Austin,ATX Kids Club,,15122345437,4.5,1587.993813297580
St Ignatius Martyr School,Austin,Crux Climbing Center,121 Pickle Rd,15129313911,4.5,1674.4553740931600
St Ignatius Martyr School,Austin,South Austin Recreation Center,1100 Cumberland Rd,15129782440,4.0,1453.506540040270
St Ignatius Martyr School,Austin,AquaMobile Swim School,,18889507946,3.5,1587.993813297580
St Ignatius Martyr School,Austin,Aiden by Best Western @ Austin City Hotel,2200 S I H 35,15124440561,3.5,1276.654966031490
St Ignatius Martyr School,Austin,Big Stacy Pool,700 E Live Oak,15124450304,4.0,641.6154672187400
St Ignatius Martyr School,Austin,Little Stacy Park,1400 Alameda Dr,,4.5,1217.587955398530
St Ignatius Martyr School,Austin,The Learning Experience - Buda,825 Main St,15125238831,5.0,18947.447551882200
St Ignatius Martyr School,Austin,Nicholas Dawson Park,614 Gibson St,15129746700,4.5,1383.2734506634400
St Ignatius Martyr School,Austin,Under30Experiences,411 W Monroe St,18888392086,5.0,961.9123423790520
St Ignatius Martyr School,Austin,Norwood Estate Dog Park,1009 Edgecliff Ter,15129746700,3.5,1882.8989450662100
St Ignatius Martyr School,Austin,Lone Star Kayak Tours,600 East Riverside Dr,15127665640,4.5,1813.2141136967200
St Ignatius Martyr School,Austin,Mike's Bikes and Tours,,15129196293,5.0,1587.993813297580
St Ignatius Martyr School,Austin,Texas Climbing Adventures,,15125902988,5.0,1587.993813297580
St Ignatius Martyr School,Austin,Zilker Park Kite Festival,,,4.0,1587.993813297580
Travis Heights Elementary School,Austin,St. Ignatius Martyr Catholic Church,126 W Oltorf St,15124423602,5.0,880.1860384279340
Travis Heights Elementary School,Austin,Big Stacy Pool,700 E Live Oak,15124450304,4.0,172.42338852754600
Travis Heights Elementary School,Austin,Live Love Paddle,1610 E Riverside Dr,15128042122,5.0,1550.208146522340
Travis Heights Elementary School,Austin,Aiden by Best Western @ Austin City Hotel,2200 S I H 35,15124440561,3.5,806.2698566909680
Travis Heights Elementary School,Austin,Little Stacy Park,1400 Alameda Dr,,4.5,621.9886770155610
Travis Heights Elementary School,Austin,Lone Star Kayak Tours,600 East Riverside Dr,15127665640,4.5,1297.4398876311700
Travis Heights Elementary School,Austin,CLUBWAKA - Austin,2504 Durwood St,18552582925,4.0,1290.3146185622700
Travis Heights Elementary School,Austin,Norwood Estate Dog Park,1009 Edgecliff Ter,15129746700,3.5,1215.5969493645900
Travis Heights Elementary School,Austin,Nicholas Dawson Park,614 Gibson St,15129746700,4.5,1501.4235868389900
Travis Heights Elementary School,Austin,Under30Experiences,411 W Monroe St,18888392086,5.0,1151.9960415012500
Travis Heights Elementary School,Austin,Amala Foundation,1006 S 8th St,15124768884,5.0,2112.323805949590
Dawson Elementary School,Austin,Tiny Tails To You,,15124235577,5.0,2008.2607622572900
Dawson Elementary School,Austin,Crux Climbing Center,121 Pickle Rd,15129313911,4.5,751.3584057528660
Dawson Elementary School,Austin,South Austin Recreation Center,1100 Cumberland Rd,15129782440,4.0,954.1701839920450
Dawson Elementary School,Austin,St. Ignatius Martyr Catholic Church,126 W Oltorf St,15124423602,5.0,1070.0110160454300
Dawson Elementary School,Austin,Mainspring Schools,1100 W Live Oak St,15124422301,5.0,1441.3637650487100
Dawson Elementary School,Austin,Crabtree amusement Carnival,412 E Ben White Blvd,,2.0,1513.5504538133000
Dawson Elementary School,Austin,Austin Eats Food Tours,,15129634545,5.0,1370.7972327470000
Dawson Elementary School,Austin,AquaMobile Swim School,,18889507946,3.5,1370.7972327470000
Dawson Elementary School,Austin,Zilker Park Kite Festival,,,4.0,1370.7972327470000
Dawson Elementary School,Austin,YMOK Daycare Austin,510 Clarke St,15124284818,4.5,1105.0007541454200
Dawson Elementary School,Austin,Lone Star Riverboat,208 Barton Springs Rd,15123271388,4.5,3388.0727578955500
Dawson Elementary School,Austin,Big Stacy Pool,700 E Live Oak,15124450304,4.0,1737.221601398020
Dawson Elementary School,Austin,Happy Swimmers USA,,15123332480,5.0,2008.2607622572900
Dawson Elementary School,Austin,ATX Kids Club,,15122345437,4.5,1370.7972327470000
Dawson Elementary School,Austin,Experience Guide,,,5.0,1010.0859116318300
Dawson Elementary School,Austin,Del Curto Neighborhood Park,3000 Del Curto,,4.0,1649.8887369412700
Dawson Elementary School,Austin,Avas Flowers,,18776383303,1.0,2008.2607622572900
Dawson Elementary School,Austin,CLUBWAKA - Austin,2504 Durwood St,18552582925,4.0,813.5549382028200
Dawson Elementary School,Austin,Texas Climbing Adventures,,15125902988,5.0,1370.7972327470000
Dawson Elementary School,Austin,Mike's Bikes and Tours,,15129196293,5.0,1370.7972327470000
Daep- El,Austin,Zilker Park Boat Rentals,2101 Andrew Zilker Rd,15124783852,4.0,1730.9384672222300
Daep- El,Austin,Barton Springs Pool,2201 Barton Springs Rd,15129746300,4.5,1895.5516279745400
Daep- El,Austin,Austin Eats Food Tours,,15129634545,5.0,1043.0760123071300
Daep- El,Austin,Peter Pan Mini-Golf,1207 Barton Springs Rd,15124721033,4.0,1113.6640037257100
Daep- El,Austin,Capital Cruises,208 Barton Springs Rd,15124809264,4.5,1680.9201279382500
Daep- El,Austin,Mainspring Schools,1100 W Live Oak St,15124422301,5.0,636.7221135547700
Daep- El,Austin,St. Ignatius Martyr Catholic Church,126 W Oltorf St,15124423602,5.0,1205.6076304386000
Daep- El,Austin,AquaMobile Swim School,,18889507946,3.5,1043.0760123071300
Daep- El,Austin,Lone Star Riverboat,208 Barton Springs Rd,15123271388,4.5,1651.488261969010
Daep- El,Austin,ATX Kids Club,,15122345437,4.5,1043.0760123071300
Daep- El,Austin,ZACH Theatre,202 S Lamar Blvd,15124760541,4.5,1535.7637275961300
Daep- El,Austin,The AR Adventure,217 Congress Ave,15125802525,5.0,2219.644608522100
Daep- El,Austin,Nicholas Dawson Park,614 Gibson St,15129746700,4.5,502.91222094970800
