name,location,website,schoolName,description,type,grades,address,city,state,zip,zip2,phone,phone2,county,lat,lon,district,number,website,gs-url,Gs-rank,yearupdate,Number2
602929,63570007138,19649806022602,Point Dume Elementary School,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6,2022,0.48957381908111400
602920,63570010248,19649806022537,Juan Cabrillo Elementary School,"Juan Cabrillo Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.",public,"KG,1,2,3,4,5",30237 Morning View Drive,Malibu,CA,90265,6037,(310) 457-0360,(310) 457-0367,Los Angeles County,34.024864,-118.828682,Santa Monica-Malibu Unified School District,313,http://www.cabrillo.smmusd.org/,https://www.greatschools.org/california/malibu/2920-Juan-Cabrillo-Elementary-School/,,,1.2991897299514100
632873,63570014384,19649800139311,Malibu Middle,"Malibu Middle, a public school located in Malibu, CA, serves grades Ungraded in the Santa Monica-Malibu Unified School District.",public,UG,30237 Morning View Drive,Malibu,CA,90265,6037,(310) 457-6801,,Los Angeles County,34.024864,-118.828682,Santa Monica-Malibu Unified School District,313,http://malibu.smmusd.org,https://www.greatschools.org/california/malibu/32873-Malibu-Middle/,,2022,1.2991897299514100
623870,,19649806133573,St. Aidan's School,"St. Aidan's School, a private school located in Malibu, CA, serves grades K in the .",private,KG,28211 Pacific Coast Highway,Malibu,CA,90265,6037,(310) 457-8899,,Los Angeles,34.024063,-118.788422,,0,http://www.staidansschool.org/,https://www.greatschools.org/california/malibu/23870-St.-Aidans-School/,,,1.4732702225757100
630767,BB100108,,St Aidans School,"St Aidans School, a private school located in Malibu, CA, serves grades PK-K in the .",private,"PK,KG",28211 Pacific Coast Highway,Malibu,CA,90265,6037,(310) 457-8899,,Los Angeles,34.024075,-118.788422,,0,,https://www.greatschools.org/california/malibu/30767-St-Aidans-School/,,,1.4736859209365300
625998,,19649806200695,Moreau Academy,"Moreau Academy, a private school located in Malibu, CA, serves grades 1-12 in the .",private,"1,2,3,4,5,6,7,8,9,10,11,12",31222 Anacapa View Drive,Malibu,CA,90265,6037,(424) 644-0347,,Los Angeles,34.043682,-118.851189,,0,,https://www.greatschools.org/california/malibu/25998-Moreau-Academy/,,,3.1229856338623300
630690,BB120092,19649806140057,Mckinna Learning Center,"Mckinna Learning Center, a private school located in Malibu, CA, serves grades 4-10 in the .",private,"4,5,6,7,8,9,10",28990 PACIFIC COAST HWY STE 217,Malibu,CA,90265,6037,(310) 589-8144,,LOS ANGELES,34.06155,-118.836372,,0,,https://www.greatschools.org/california/malibu/30690-Mckinna-Learning-Center/,,,3.637100053438060
607888,69277,19649806962914,Our Lady Of Malibu,"Our Lady Of Malibu, a private school located in Malibu, CA, serves grades K-8 in the .",private,"KG,1,2,3,4,5,6,7,8",3625 Winter Canyon Road,Malibu,CA,90265,6037,(310) 456-8071,(310) 456-7767,Los Angeles County,34.038502,-118.69989,,0,www.olmalibuschool.org,https://www.greatschools.org/california/malibu/7888-Our-Lady-Of-Malibu/,,,6.578147563597500
602933,63570006104,19649806022636,Webster Elementary School,"Webster Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 9 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",3602 Winter Canyon Road,Malibu,CA,90265,6037,(310) 456-6494,(310) 456-9304,Los Angeles County,34.038708,-118.698685,Santa Monica-Malibu Unified School District,313,http://www.webster.smmusd.org,https://www.greatschools.org/california/malibu/2933-Webster-Elementary-School/,9,2022,6.648455267376690
630709,BB120090,,Moreau Academy,"Moreau Academy, a private school located in Malibu, CA, serves grades 1-11 in the .",private,"1,2,3,4,5,6,7,8,9,10,11",Po Box 6144,Malibu,CA,90264,6037,(424) 644-0347,,Los Angeles,34.034904,-118.694183,,0,,https://www.greatschools.org/california/malibu/30709-Moreau-Academy/,,,6.835756894130510
610813,K9500041,,Ilan Ramon Day School,"Ilan Ramon Day School, a private school located in Agoura Hills, CA, serves grades PK-5 in the .",private,"PK,TK,KG,1,2,3,4,5",27400 CANWOOD ST,Agoura Hills,CA,91301,6037,(818) 707-2365,(818) 707-9052,LOS ANGELES,34.112991,-118.754784,,0,www.ilanramondayschool.com,https://www.greatschools.org/california/agoura-hills/10813-Ilan-Ramon-Day-School/,,,7.589006052170460
609789,A9101111,19646836901276,Montessori School Of Agoura,"Montessori School Of Agoura, a private school located in Agoura Hills, CA, serves grades PK-K in the .",private,"PK,TK,KG",28124 DRIVER AVENUE,Agoura Hills,CA,91301,6037,(818) 991-8936,,LOS ANGELES,34.112991,-118.754784,,0,http://montessoriagoura.com/,https://www.greatschools.org/california/agoura-hills/9789-Montessori-School-Of-Agoura/,,,7.589006052170460
609126,1611449,19647336905830,Calmont,"Calmont, a private school located in Calabasas, CA, serves grades PK-9 in the .",private,"PK,KG,1,2,3,4,5,6,7,8,9",1666 Las Virgenes Canyon Road,Calabasas,CA,91302,6037,(818) 880-8820,(818) 880-8860,Los Angeles,34.095387,-118.708939,,0,,https://www.greatschools.org/california/calabasas/9126-Calmont/,,,8.125467582984330
624959,A0990016,19646836136188,MUSE School CA,"MUSE School CA, a private school located in Calabasas, CA, serves grades PK-12 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",1666 Las Virgenes Canyon Road,Calabasas,CA,91302,6037,(818) 880-5437,,Los Angeles County,34.093243,-118.703629,,0,www.museschool.org,https://www.greatschools.org/california/calabasas/24959-MUSE-School-CA/,,,8.24630718182609
