schoolName,School City,Business Name,Business Address,Business Phone,Business Rating,Distance from School
Point Dume Elementary School,Malibu,Thornhill Broome Beach,9000 Pacific Coast Hightway,18188800350,4.0,437.42776643142600
Point Dume Elementary School,Malibu,Point Dume State Beach,7103 Westward Beach Rd,18054881827,4.5,1335.3581037543300
Point Dume Elementary School,Malibu,Nicholas Canyon Beach,7103 Westward Rd,,3.5,1181.1363327401400
Point Dume Elementary School,Malibu,Westward Beach,Westward Beach Rd,,4.5,1280.1374440343600
Point Dume Elementary School,Malibu,Paradise Cove Beach,28128 Pacific Coast Hwy,13104572503,3.0,1551.3904422621100
Point Dume Elementary School,Malibu,The Booth & Bus Co,4262 Lindblade Dr,14242721680,5.0,35077.12337671950
Point Dume Elementary School,Malibu,Star Helicopters,3670 W 120th St,13103551959,5.0,44039.58939496900
Point Dume Elementary School,Malibu,Allegro Event,2355 E Foothill Blvd,16265518533,5.0,66294.82167355580
Point Dume Elementary School,Malibu,Meathead Movers,1401 Maulhardt Ave,18059877201,4.0,38744.56656096320
Juan Cabrillo Elementary School,Malibu,Broad Beach,Broadbeach Rd,,4.0,1545.0201945471900
Juan Cabrillo Elementary School,Malibu,Zuma Beach ,30000 Pacific Coast Hwy,,4.5,1259.2291029448100
Juan Cabrillo Elementary School,Malibu,Aloha Beach Camp,30100 Pacific Coast Hwy,18189324600,5.0,379.7077008384750
Juan Cabrillo Elementary School,Malibu,Malibu Makos Surf Camp,30600 Pacific Coast Hwy,13103171229,5.0,1140.8833414813900
Malibu Middle,Malibu,Broad Beach,Broadbeach Rd,,4.0,1545.0201945471900
Malibu Middle,Malibu,Zuma Beach ,30000 Pacific Coast Hwy,,4.5,1259.2291029448100
Malibu Middle,Malibu,Aloha Beach Camp,30100 Pacific Coast Hwy,18189324600,5.0,379.7077008384750
Malibu Middle,Malibu,Malibu Makos Surf Camp,30600 Pacific Coast Hwy,13103171229,5.0,1140.8833414813900
St. Aidan's School,Malibu,Escondido Canyon Park,27200 Winding Way,13105893200,4.0,1819.6457087364900
St. Aidan's School,Malibu,Thornhill Broome Beach,9000 Pacific Coast Hightway,18188800350,4.0,1870.367505238940
St. Aidan's School,Malibu,Enjoy The Mountain,8605 Santa Monica Blvd,18443866691,4.0,38342.549501883400
St. Aidan's School,Malibu,Long Beach Waterbikes,164 N Marina Dr,15625462493,4.5,69369.99642542830
St. Aidan's School,Malibu,Malibu Lagoon,,,5.0,824.8458167764870
St. Aidan's School,Malibu,Paradise Cove Beach,28128 Pacific Coast Hwy,13104572503,3.0,420.1080022759020
St. Aidan's School,Malibu,Enjoy The Mountain,1 Garden St,18443866691,4.5,93351.12559369750
St. Aidan's School,Malibu,Santa Barbara Beach Horseback Rides,,18056885984,4.5,85631.82610730820
St. Aidan's School,Malibu,Sail Channel Islands,3150 S Harbor Blvd,18057507828,5.0,43734.11715970210
St. Aidan's School,Malibu,Wild Desert Tours,13735 Shadow Mountain Rd,17604759358,5.0,152582.68955526800
St. Aidan's School,Malibu,Old Plank Sailing Adventures,13715 Fiji Way,18186440081,5.0,32001.577989189700
St. Aidan's School,Malibu,Rock N Rope Adventures,,13109754049,5.0,1457.211200065100
St. Aidan's School,Malibu,Bella Boating,13701 Fiji Way,13104221114,5.0,32004.379967460000
St. Aidan's School,Malibu,The Maimon Group,640 S San Vicente Blvd,18446480331,4.5,38606.00778876360
St. Aidan's School,Malibu,Malibu Mountain Bikers,,18056602715,5.0,13756.403295896500
St. Aidan's School,Malibu,Malibu Wine and Nature Tours,,13104567651,5.0,32691.75599781800
St. Aidan's School,Malibu,VOX DJs,2988 Columbia St,13103722222,5.0,45994.0272603082
St. Aidan's School,Malibu,"Jason Abaka, DPT",,13102288251,5.0,824.8458167764870
St. Aidan's School,Malibu,Marina Del Rey Boat Rentals,13717 Fiji Way,13103064444,3.0,32008.388871161000
St. Aidan's School,Malibu,Pali Adventures,30778 Hwy 18,19098675743,4.0,154002.7741019370
St Aidans School,Malibu,Escondido Canyon Park,27200 Winding Way,13105893200,4.0,1818.9326256885700
St Aidans School,Malibu,Thornhill Broome Beach,9000 Pacific Coast Hightway,18188800350,4.0,1871.0559095599000
St Aidans School,Malibu,Enjoy The Mountain,8605 Santa Monica Blvd,18443866691,4.0,38342.29914562300
St Aidans School,Malibu,Long Beach Waterbikes,164 N Marina Dr,15625462493,4.5,69370.58423798430
St Aidans School,Malibu,Malibu Lagoon,,,5.0,824.5124532325210
St Aidans School,Malibu,Paradise Cove Beach,28128 Pacific Coast Hwy,13104572503,3.0,421.4350330483260
St Aidans School,Malibu,Enjoy The Mountain,1 Garden St,18443866691,4.5,93350.50010436270
St Aidans School,Malibu,Santa Barbara Beach Horseback Rides,,18056885984,4.5,85631.12086155460
St Aidans School,Malibu,Sail Channel Islands,3150 S Harbor Blvd,18057507828,5.0,43733.61803460360
St Aidans School,Malibu,Wild Desert Tours,13735 Shadow Mountain Rd,17604759358,5.0,152581.99373906000
St Aidans School,Malibu,Old Plank Sailing Adventures,13715 Fiji Way,18186440081,5.0,32001.807224334200
St Aidans School,Malibu,Rock N Rope Adventures,,13109754049,5.0,1455.9193217134100
St Aidans School,Malibu,Bella Boating,13701 Fiji Way,13104221114,5.0,32004.6103381006
St Aidans School,Malibu,The Maimon Group,640 S San Vicente Blvd,18446480331,4.5,38605.84601674770
St Aidans School,Malibu,Malibu Mountain Bikers,,18056602715,5.0,13755.085948947200
St Aidans School,Malibu,Malibu Wine and Nature Tours,,13104567651,5.0,32691.57637940910
St Aidans School,Malibu,VOX DJs,2988 Columbia St,13103722222,5.0,45994.60554904540
St Aidans School,Malibu,"Jason Abaka, DPT",,13102288251,5.0,824.5124532325210
St Aidans School,Malibu,Marina Del Rey Boat Rentals,13717 Fiji Way,13103064444,3.0,32008.62151196660
St Aidans School,Malibu,Pali Adventures,30778 Hwy 18,19098675743,4.0,154002.56923673100
Moreau Academy,Malibu,Broad Beach,Broadbeach Rd,,4.0,1569.6204923559200
Moreau Academy,Malibu,Lechuza Beach,Broad Beach Rd,,4.0,1648.9505742416100
Mckinna Learning Center,Malibu,Pali Adventures,30778 Hwy 18,19098675743,4.0,157800.24147491000
Mckinna Learning Center,Malibu,Happy Swimmers Mobile Swim School,,18185304117,4.5,33309.93473484130
Our Lady Of Malibu,Malibu,Malibu Bluffs Park,24250 Pacific Coast Hwy,13103171364,4.5,627.8473325857730
Our Lady Of Malibu,Malibu,Alumni Park,Banowsky Blvd,,4.0,717.5119705357740
Our Lady Of Malibu,Malibu,Legacy Park,23500 Civic Ctr Way,13103171364,3.5,1107.0504561737500
Our Lady Of Malibu,Malibu,Spartan Race,,,2.0,730.9751247901020
Our Lady Of Malibu,Malibu,Heaven's Best Carpet Cleaning,23852 Pacific Coast Hwy,13109244097,4.5,623.008728401774
Our Lady Of Malibu,Malibu,Malibu Jewish Center & Synagogue,24855 Pacific Coast Hwy,13104562178,4.5,1535.1451838591000
Our Lady Of Malibu,Malibu,Scott Wong Volleyball Camp,24255 Pacific Coast Hwy,13105064365,3.0,545.9688948905580
Our Lady Of Malibu,Malibu,Pepperdine Waves Baseball,24255 Pacific Coast Hwy,13105064150,5.0,1020.7067549289400
Webster Elementary School,Malibu,Malibu Bluffs Park,24250 Pacific Coast Hwy,13103171364,4.5,716.1296209120620
Webster Elementary School,Malibu,Alumni Park,Banowsky Blvd,,4.0,829.6892036485370
Webster Elementary School,Malibu,Legacy Park,23500 Civic Ctr Way,13103171364,3.5,1005.8111741792900
Webster Elementary School,Malibu,Spartan Race,,,2.0,809.7450513585340
Webster Elementary School,Malibu,Heaven's Best Carpet Cleaning,23852 Pacific Coast Hwy,13109244097,4.5,561.5372356246320
Webster Elementary School,Malibu,Malibu Jewish Center & Synagogue,24855 Pacific Coast Hwy,13104562178,4.5,1647.8955834748000
Webster Elementary School,Malibu,Scott Wong Volleyball Camp,24255 Pacific Coast Hwy,13105064365,3.0,653.9768452820570
Webster Elementary School,Malibu,Pepperdine Waves Baseball,24255 Pacific Coast Hwy,13105064150,5.0,1124.1502875873400
Moreau Academy,Malibu,Legacy Park,23500 Civic Ctr Way,13103171364,3.5,566.3533557865360
Moreau Academy,Malibu,Malibu Lagoon State Beach,23200 Pacific Coast Hwy & Cross Creek Rd,18188800363,4.0,1288.8491420088300
Moreau Academy,Malibu,Malibu Bluffs Park,24250 Pacific Coast Hwy,13103171364,4.5,904.1672815045880
Moreau Academy,Malibu,Alumni Park,Banowsky Blvd,,4.0,1206.5361273802000
Moreau Academy,Malibu,Malibu Surfrider Beach,23200 Pacific Coast Hwy,,4.5,1431.382420030800
Moreau Academy,Malibu,Heaven's Best Carpet Cleaning,23852 Pacific Coast Hwy,13109244097,4.5,56.43886003241320
Moreau Academy,Malibu,Spartan Race,,,2.0,914.388191959492
Moreau Academy,Malibu,Scott Wong Volleyball Camp,24255 Pacific Coast Hwy,13105064365,3.0,1167.3274053142500
Moreau Academy,Malibu,Pepperdine Waves Baseball,24255 Pacific Coast Hwy,13105064150,5.0,1647.8824335998200
Ilan Ramon Day School,Agoura Hills,Malibu Riders,,18185102245,5.0,30547.58772303720
Ilan Ramon Day School,Agoura Hills,Paramount Ranch Trail Half Marathon & 10K,Paramount Ranch Rd,,5.0,470.7924411223860
Ilan Ramon Day School,Agoura Hills,Happy Swimmers Mobile Swim School,,18185304117,4.5,24591.426662838600
Ilan Ramon Day School,Agoura Hills,Camp Calabasas,3701 Lost Hills Rd,18184479469,4.5,7632.184642977880
Montessori School Of Agoura,Agoura Hills,Malibu Riders,,18185102245,5.0,30547.58772303720
Montessori School Of Agoura,Agoura Hills,Paramount Ranch Trail Half Marathon & 10K,Paramount Ranch Rd,,5.0,470.7924411223860
Montessori School Of Agoura,Agoura Hills,Happy Swimmers Mobile Swim School,,18185304117,4.5,24591.426662838600
Montessori School Of Agoura,Agoura Hills,Camp Calabasas,3701 Lost Hills Rd,18184479469,4.5,7632.184642977880
Calmont,Calabasas,King Gillette Ranch,26800 Mulholland Hwy,18188780866,4.0,1031.9753600401900
Calmont,Calabasas,Nights of the Jack,26800 Mulholland Hwy,,3.0,1056.1172114691200
Calmont,Calabasas,Santa Monica Mountains National Recreation Area,26876 Mulholland Hwy,18053702301,4.5,845.1800180680500
MUSE School CA,Calabasas,King Gillette Ranch,26800 Mulholland Hwy,18188780866,4.0,1367.1104161490200
MUSE School CA,Calabasas,Nights of the Jack,26800 Mulholland Hwy,,3.0,1388.1913115781900
MUSE School CA,Calabasas,Santa Monica Mountains National Recreation Area,26876 Mulholland Hwy,18053702301,4.5,1133.0160990958500
Carpe Diem Academy,Agoura,Malibu Riders,,18185102245,5.0,31075.61324619580
Carpe Diem Academy,Agoura,Born Learners School,28348 Agoura Rd,18189917752,4.5,1714.5267883077300
