schoolName,School City,Business Name,Business Address,Business Phone,Business Rating,Distance from School,name,location,website,description,type,grades,address,city,state,zip,zip2,phone,phone2,county,lat,lon,district,number,website.1,gs-url,Gs-rank,yearupdate,Number2
St Ignatius Martyr School,Austin,Austin Eats Food Tours,,15129634545.0,5.0,1587.99381329758,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,St. Ignatius Martyr Catholic Church,126 W Oltorf St,15124423602.0,5.0,133.166961948232,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Mainspring Schools,1100 W Live Oak St,15124422301.0,5.0,1333.02901580849,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,CLUBWAKA - Austin,2504 Durwood St,18552582925.0,4.0,549.697520501253,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Lone Star Riverboat,208 Barton Springs Rd,15123271388.0,4.5,2439.18677907761,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,ATX Kids Club,,15122345437.0,4.5,1587.99381329758,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Crux Climbing Center,121 Pickle Rd,15129313911.0,4.5,1674.45537409316,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,South Austin Recreation Center,1100 Cumberland Rd,15129782440.0,4.0,1453.50654004027,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,AquaMobile Swim School,,18889507946.0,3.5,1587.99381329758,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Aiden by Best Western @ Austin City Hotel,2200 S I H 35,15124440561.0,3.5,1276.65496603149,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Big Stacy Pool,700 E Live Oak,15124450304.0,4.0,641.61546721874,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Little Stacy Park,1400 Alameda Dr,,4.5,1217.58795539853,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,The Learning Experience - Buda,825 Main St,15125238831.0,5.0,18947.4475518822,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
St Ignatius Martyr School,Austin,Nicholas Dawson Park,614 Gibson St,15129746700.0,4.5,1383.27345066344,4807302,1323315,227100104.0,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.262621043409099
