schoolName,School City,Business Name,Business Address,Business Phone,Business Rating,Distance from School,name,location,website,description,type,grades,address,city,state,zip,zip2,phone,phone2,county,lat,lon,district,number,website.1,gs-url,Gs-rank,yearupdate,Number2
Point Dume Elementary School,Malibu,Thornhill Broome Beach,9000 Pacific Coast Hightway,18188800350.0,4.0,437.427766431426,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Point Dume State Beach,7103 Westward Beach Rd,18054881827.0,4.5,1335.35810375433,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Nicholas Canyon Beach,7103 Westward Rd,,3.5,1181.13633274014,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Westward Beach,Westward Beach Rd,,4.5,1280.13744403436,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Paradise Cove Beach,28128 Pacific Coast Hwy,13104572503.0,3.0,1551.39044226211,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,The Booth & Bus Co,4262 Lindblade Dr,14242721680.0,5.0,35077.1233767195,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Star Helicopters,3670 W 120th St,13103551959.0,5.0,44039.589394969,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Allegro Event,2355 E Foothill Blvd,16265518533.0,5.0,66294.8216735558,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Point Dume Elementary School,Malibu,Meathead Movers,1401 Maulhardt Ave,18059877201.0,4.0,38744.5665609632,602929,63570007138,19649806022602.0,"Point Dume Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5",6955 Fernhill Drive,Malibu,CA,90265,6037,(310) 457-9370,(310) 457-8064,Los Angeles County,34.012856,-118.802177,Santa Monica-Malibu Unified School District,313,http://www.pointdume.smmusd.org/,https://www.greatschools.org/california/malibu/2929-Point-Dume-Elementary-School/,6.0,2022.0,0.489573819081114
Juan Cabrillo Elementary School,Malibu,Broad Beach,Broadbeach Rd,,4.0,1545.02019454719,602920,63570010248,19649806022537.0,"Juan Cabrillo Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.",public,"KG,1,2,3,4,5",30237 Morning View Drive,Malibu,CA,90265,6037,(310) 457-0360,(310) 457-0367,Los Angeles County,34.024864,-118.828682,Santa Monica-Malibu Unified School District,313,http://www.cabrillo.smmusd.org/,https://www.greatschools.org/california/malibu/2920-Juan-Cabrillo-Elementary-School/,,,1.29918972995141
Juan Cabrillo Elementary School,Malibu,Zuma Beach ,30000 Pacific Coast Hwy,,4.5,1259.22910294481,602920,63570010248,19649806022537.0,"Juan Cabrillo Elementary School, a public school located in Malibu, CA, serves grades K-5 in the Santa Monica-Malibu Unified School District.",public,"KG,1,2,3,4,5",30237 Morning View Drive,Malibu,CA,90265,6037,(310) 457-0360,(310) 457-0367,Los Angeles County,34.024864,-118.828682,Santa Monica-Malibu Unified School District,313,http://www.cabrillo.smmusd.org/,https://www.greatschools.org/california/malibu/2920-Juan-Cabrillo-Elementary-School/,,,1.29918972995141
