universal-id,nces-id,state-id,name,school-summary,type,level,street,city,state,zip,fipscounty,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url,rating,year,distance
4807302,01323315,227100104,St Ignatius Martyr School,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.26262104340909936
4800585,480894000361,227901140,Travis Heights Elementary School,"Travis Heights Elementary School, a charter school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"PK,KG,1,2,3,4,5",2010 Alameda Drive,Austin,TX,78704,48453,(512) 414-4495,(512) 442-9537,Travis County,30.241476,-97.745911,Austin Independent School District,115,http://www.travisheightselementary.com/,https://www.greatschools.org/texas/austin/585-Travis-Heights-Elementary-School/,6,2022,0.34027116706227395
4800539,480894000312,227901114,Dawson Elementary School,"Dawson Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",3001 South 1st Street,Austin,TX,78704,48453,(512) 414-2070,(512) 442-5765,Travis County,30.234201,-97.763611,Austin Independent School District,115,http://www.austinisd.org/schools/dawson,https://www.greatschools.org/texas/austin/539-Dawson-Elementary-School/,5,2022,0.8563530391340549
4818842,480894006356,227901115,Daep- El,"Daep- El, a public school located in Austin, TX, serves grades 3-5 in the Austin Independent School District.",public,"3,4,5",906 West Milton Street,Austin,TX,78704,48453,(512) 414-2074,(512) 472-9029,Travis County,30.250395,-97.759453,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/18842-Daep--El/,,,1.0264335690407247
4800525,480894000298,227901104,Becker Elementary School,"Becker Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",906 West Milton Street,Austin,TX,78704,48453,(512) 414-2019,(512) 442-1759,Travis County,30.250395,-97.759453,Austin Independent School District,115,http://www.beckerelementary.com/,https://www.greatschools.org/texas/austin/525-Becker-Elementary-School/,6,2022,1.0264335690407247
4800556,480894000329,227901160,Linder Elementary School,"Linder Elementary School, a public school located in Austin, TX, serves grades 1-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"1,2,3,4,5",2801 Metcalfe Road,Austin,TX,78741,48453,(512) 414-2398,(512) 447-3222,Travis County,30.225952,-97.736069,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/556-Linder-Elementary-School/,5,2022,1.175368349758286
4800614,480894006509,227901176,Galindo Elementary School,"Galindo Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",3800 South 2nd Street,Austin,TX,78704,48453,(512) 414-1756,(512) 414-0448,Travis County,30.229517,-97.771896,Austin Independent School District,115,https://www.austinisd.org/schools/galindo,https://www.greatschools.org/texas/austin/614-Galindo-Elementary-School/,2,2022,1.4349598593212123
4800579,480894000355,227901127,Sanchez Elementary School,"Sanchez Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",73 San Marcos Street,Austin,TX,78702,48453,(512) 414-4423,(512) 472-9493,Travis County,30.257992,-97.735054,Austin Independent School District,115,http://sanchez.austinschools.org/,https://www.greatschools.org/texas/austin/579-Sanchez-Elementary-School/,5,2022,1.6425135769942956
4800592,480894000369,227901146,Zilker Elementary School,"Zilker Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 8 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",1900 Bluebonnet Lane,Austin,TX,78704,48453,(512) 414-2327,(512) 442-3992,Travis County,30.252544,-97.774567,Austin Independent School District,115,http://www.zilkerelem.org/,https://www.greatschools.org/texas/austin/592-Zilker-Elementary-School/,8,2022,1.7793343855245007
4800581,480894000357,227901136,St Elmo El,"St Elmo El, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",600 West Saint Elmo Road,Austin,TX,78745,48453,(512) 414-4477,(512) 442-6871,Travis County,30.222063,-97.773376,Austin Independent School District,115,http://stelmo.austinschools.org/,https://www.greatschools.org/texas/austin/581-St-Elmo-El/,4,2022,1.779904432873103
