schoolName,School City,Business Name,Business Address,Business Phone,Business Rating,Distance from School,Latitude,Longitude
Holdeman Elementary School,Tempe,World of Illumination,2200 W Alameda Dr,,2.0,1486.3956809172,39.28535649886640,-1.4724720033764000
Holdeman Elementary School,Tempe,Great Room Escape,1625 W University Dr,14803783613.0,5.0,1382.547503139520,39.73395000000010,-75.06294000000000
Holdeman Elementary School,Tempe,Class Axe Throwing,1625 W University Dr,14806763386.0,5.0,1361.8624628582200,39.73395000000010,-75.06294000000000
Holdeman Elementary School,Tempe,Marriott Phoenix Resort Tempe at The Buttes,2000 W Westcourt Way,16022259000.0,3.5,1263.260817017950,,
Holdeman Elementary School,Tempe,Dynamic Escape Rooms,1797 W University Dr,14803311202.0,5.0,1445.690139795940,,
Holdeman Elementary School,Tempe,Boulders On Broadway,530 W Broadway,14809219431.0,4.0,1123.593992229590,49.88370000000000,-97.15665100000000
Holdeman Elementary School,Tempe,The Sleuth Box,2400 W Medtronic Way,14805254480.0,5.0,1743.853911182620,40.86835000000010,-74.44802000000000
Holdeman Elementary School,Tempe,Rio Salado College,2323 W 14th St,14805178000.0,2.0,1424.6747293400100,,
Holdeman Elementary School,Tempe,Arizona Pool Covers,943 S 48th St,14808290083.0,3.5,1883.1252547965300,,
Holdeman Elementary School,Tempe,RainSoft of Arizona,1625 West University Dr,14803770777.0,2.0,1371.18077684145,,
Noor Academy of Arizona,Tempe,Stellar Adventures,3102 S Roosevelt St,16024020584.0,5.0,1246.0025959853000,42.99230370607270,-71.50063366741310
Noor Academy of Arizona,Tempe,World of Illumination,2200 W Alameda Dr,,2.0,1428.2960128923700,39.28535649886640,-1.4724720033764000
Noor Academy of Arizona,Tempe,Marriott Phoenix Resort Tempe at The Buttes,2000 W Westcourt Way,16022259000.0,3.5,1405.843264237330,,
Noor Academy of Arizona,Tempe,Boulders On Broadway,530 W Broadway,14809219431.0,4.0,855.3804614913570,49.88370000000000,-97.15665100000000
Noor Academy of Arizona,Tempe,Stellar Adventures,3102 S Roosevelt St,16024020584.0,5.0,1244.5721992773200,42.99230370607270,-71.50063366741310
Noor Academy of Arizona,Tempe,World of Illumination,2200 W Alameda Dr,,2.0,1428.677471603860,39.28535649886640,-1.4724720033764000
Noor Academy of Arizona,Tempe,Marriott Phoenix Resort Tempe at The Buttes,2000 W Westcourt Way,16022259000.0,3.5,1406.587169929160,,
Noor Academy of Arizona,Tempe,Boulders On Broadway,530 W Broadway,14809219431.0,4.0,855.3107159398090,49.88370000000000,-97.15665100000000
Suriya Montessori Education Center,Tempe,Family Music,,16232213948.0,5.0,28360.36265463130,18.776095735718500,100.77393496801100
Suriya Montessori Education Center,Tempe,Davis Circus of Illusion,6105 N Cattle Track Rd,14803301592.0,5.0,12948.866502669300,,
Suriya Montessori Education Center,Tempe,Tempe Town Lake Boat Rentals,72 W Rio Salado Pkwy,18556900794.0,4.0,2434.8318986908200,-25.43522000000000,-65.84676000000000
Suriya Montessori Education Center,Tempe,Great Room Escape,1625 W University Dr,14803783613.0,5.0,1615.3378206820000,39.73395000000010,-75.06294000000000
Suriya Montessori Education Center,Tempe,University Inn & Suites,902 South Mill Ave,14809667221.0,4.5,1412.0315943739300,,
Suriya Montessori Education Center,Tempe,Class Axe Throwing,1625 W University Dr,14806763386.0,5.0,1613.3247979223500,39.73395000000010,-75.06294000000000
Suriya Montessori Education Center,Tempe,Bright Ideas Childcare,2720 S Dorsey Ln,14807771658.0,4.5,3593.196853158990,,
Suriya Montessori Education Center,Tempe,Kickback Tours,,14802443346.0,4.5,7393.009877054740,18.776095735718500,100.77393496801100
Suriya Montessori Education Center,Tempe,JoyridesAZ,7142 E 1st St,14806757857.0,5.0,9212.776152212040,,
Suriya Montessori Education Center,Tempe,Salt River Rafting,,18004255253.0,5.0,7393.009877054740,18.776095735718500,100.77393496801100
Suriya Montessori Education Center,Tempe,Apex Balloons,21705 N 19th Ave,18779468247.0,5.0,33032.48251200050,,
Suriya Montessori Education Center,Tempe,TWK Family Adventure Tours,87 W State Ave,16023805516.0,5.0,18717.75486959050,,
Suriya Montessori Education Center,Tempe,The Zone Escape Rooms,414 S Mill Ave,14806665550.0,5.0,1904.669218576220,,
Suriya Montessori Education Center,Tempe,Puzzling Adventures,730 N Mill Ave,18884338966.0,5.0,2857.5029643194900,,
Suriya Montessori Education Center,Tempe,Western Destinations,21630 N 9th Ave,16233745245.0,5.0,32534.160154166900,,
Suriya Montessori Education Center,Tempe,A Perfect Fit Nanny Agency,,14807181269.0,4.5,14429.530563484000,18.776095735718500,100.77393496801100
Suriya Montessori Education Center,Tempe,Whiz Kidz Playland,3233 E Chandler Blvd,14805505113.0,4.5,13187.652048137100,51.91889719827690,4.087165203532750
Suriya Montessori Education Center,Tempe,Peppersauce Motorsports & Rentals,136 W 8th Ave,15203854265.0,4.5,151871.07086848400,,
Suriya Montessori Education Center,Tempe,Scottsdale Selfie Museum and Photography Studio,11111 North Scottsdale Rd,14803595474.0,5.0,19609.05718528030,33.58172043745450,-111.84130139893900
Suriya Montessori Education Center,Tempe,Charming Pony Ranch Parties,23517 S 182nd St,14802541252.0,4.0,31337.118727102200,,
Tempe Adventist Christian School,Tempe,Great Room Escape,1625 W University Dr,14803783613.0,5.0,1900.9730640375300,39.73395000000010,-75.06294000000000
Tempe Adventist Christian School,Tempe,University Inn & Suites,902 South Mill Ave,14809667221.0,4.5,1379.4032595420300,,
Tempe Adventist Christian School,Tempe,Class Axe Throwing,1625 W University Dr,14806763386.0,5.0,1898.9945374831400,39.73395000000010,-75.06294000000000
Tempe Adventist Christian School,Tempe,Boulders On Broadway,530 W Broadway,14809219431.0,4.0,377.05670139373200,49.88370000000000,-97.15665100000000
Tempe Adventist Christian School,Tempe,Daley Park,1625 S College Ave,14803505200.0,4.0,1597.8078439062300,,
Tempe Adventist Christian School,Tempe,ASU Art Museum,51 E 10th St,14809652787.0,4.5,1416.311585000610,,
Tempe Adventist Christian School,Tempe,RainSoft of Arizona,1625 West University Dr,14803770777.0,2.0,1892.5430718374100,,
Banner Children's Academy,Tempe,Great Room Escape,1625 W University Dr,14803783613.0,5.0,551.3321179070500,39.73395000000010,-75.06294000000000
Banner Children's Academy,Tempe,Class Axe Throwing,1625 W University Dr,14806763386.0,5.0,543.0000516791630,39.73395000000010,-75.06294000000000
Banner Children's Academy,Tempe,Dynamic Escape Rooms,1797 W University Dr,14803311202.0,5.0,731.526277403193,,
Banner Children's Academy,Tempe,Marriott Phoenix Resort Tempe at The Buttes,2000 W Westcourt Way,16022259000.0,3.5,1731.9901320169600,,
Banner Children's Academy,Tempe,The Sleuth Box,2400 W Medtronic Way,14805254480.0,5.0,1267.451991447470,40.86835000000010,-74.44802000000000
