Time (s),R,G,B
0,168.0,72.0,18.0
1,183.0,57.0,18.0
2,129.0,95.0,34.0
3,129.0,100.0,28.0
4,137.0,94.0,27.0
5,155.0,80.0,23.0
6,168.0,69.0,21.0
7,149.0,78.0,31.0
8,149.0,75.0,34.0
9,167.0,67.0,23.0
10,140.0,89.0,29.0
11,130.0,96.0,33.0
12,140.0,84.0,35.0
13,162.0,72.0,24.0
14,173.0,66.0,19.0
15,134.0,94.0,30.0
16,150.0,80.0,28.0
17,143.0,86.0,28.0
18,118.0,112.0,28.0
19,134.0,101.0,24.0
20,151.0,85.0,22.0
21,162.0,76.0,21.0
22,124.0,99.0,35.0
23,122.0,104.0,31.0
24,151.0,76.0,31.0
25,116.0,103.0,39.0
26,112.0,116.0,31.0
27,122.0,108.0,28.0
28,150.0,83.0,25.0
29,174.0,65.0,19.0
30,122.0,109.0,27.0
31,131.0,98.0,29.0
32,148.0,84.0,27.0
33,115.0,111.0,32.0
34,144.0,80.0,34.0
35,150.0,67.0,41.0
36,157.0,58.0,44.0
37,167.0,48.0,43.0
38,170.0,50.0,37.0
39,169.0,52.0,37.0
40,119.0,98.0,40.0
41,126.0,98.0,33.0
42,117.0,79.0,62.0
43,116.0,93.0,50.0
44,109.0,70.0,79.0
45,122.0,89.0,47.0
46,110.0,77.0,71.0
47,114.0,88.0,56.0
48,120.0,90.0,48.0
49,117.0,93.0,48.0
50,114.0,77.0,67.0
51,126.0,68.0,65.0
52,107.0,94.0,57.0
53,107.0,101.0,50.0
54,124.0,88.0,47.0
55,126.0,94.0,38.0
56,109.0,112.0,37.0
57,105.0,88.0,65.0
58,94.0,85.0,79.0
59,94.0,62.0,102.0
60,109.0,92.0,57.0
61,90.0,81.0,87.0
62,94.0,91.0,73.0
63,100.0,91.0,67.0
64,104.0,104.0,51.0
65,94.0,89.0,75.0
66,110.0,74.0,74.0
67,94.0,68.0,95.0
68,108.0,97.0,53.0
69,107.0,90.0,62.0
70,118.0,95.0,45.0
71,104.0,89.0,65.0
72,125.0,67.0,66.0
73,133.0,60.0,65.0
74,133.0,58.0,67.0
75,164.0,57.0,37.0
76,175.0,60.0,23.0
77,180.0,62.0,16.0
78,126.0,100.0,32.0
79,182.0,53.0,23.0
80,183.0,52.0,22.0
81,138.0,68.0,53.0
82,148.0,75.0,35.0
83,202.0,40.0,16.0
84,196.0,45.0,17.0
85,142.0,69.0,47.0
86,185.0,51.0,23.0
87,195.0,44.0,19.0
88,176.0,52.0,30.0
89,129.0,75.0,54.0
90,186.0,51.0,21.0
91,194.0,44.0,20.0
92,152.0,60.0,46.0
93,170.0,62.0,26.0
94,185.0,52.0,21.0
95,177.0,60.0,21.0
96,116.0,90.0,53.0
97,123.0,94.0,41.0
98,193.0,46.0,20.0
99,189.0,47.0,22.0
100,134.0,68.0,57.0
101,178.0,53.0,27.0
102,185.0,53.0,21.0
103,181.0,49.0,28.0
104,131.0,70.0,57.0
105,176.0,60.0,22.0
106,183.0,52.0,23.0
107,164.0,57.0,38.0
108,169.0,62.0,26.0
109,187.0,48.0,23.0
110,187.0,49.0,22.0
111,146.0,61.0,50.0
112,156.0,64.0,37.0
113,207.0,36.0,15.0
114,218.0,29.0,11.0
115,145.0,50.0,63.0
116,187.0,49.0,22.0
117,188.0,41.0,28.0
118,170.0,56.0,33.0
119,128.0,67.0,63.0
120,171.0,54.0,34.0
121,190.0,38.0,30.0
122,166.0,53.0,40.0
123,164.0,51.0,44.0
124,182.0,48.0,27.0
125,192.0,40.0,26.0
126,158.0,54.0,46.0
127,174.0,47.0,37.0
128,185.0,43.0,30.0
129,178.0,46.0,34.0
130,144.0,60.0,54.0
131,178.0,46.0,34.0
132,184.0,43.0,30.0
133,171.0,50.0,37.0
134,139.0,61.0,58.0
135,172.0,41.0,45.0
136,193.0,37.0,28.0
137,171.0,44.0,42.0
138,154.0,56.0,48.0
139,180.0,46.0,33.0
140,190.0,41.0,28.0
141,171.0,48.0,39.0
142,169.0,47.0,42.0
143,184.0,45.0,29.0
144,178.0,45.0,35.0
145,150.0,55.0,54.0
146,176.0,48.0,34.0
147,195.0,39.0,24.0
148,190.0,40.0,28.0
149,171.0,49.0,38.0
150,193.0,34.0,31.0
151,197.0,38.0,23.0
152,193.0,36.0,28.0
153,170.0,49.0,39.0
154,188.0,43.0,28.0
155,194.0,39.0,24.0
156,180.0,47.0,30.0
157,176.0,48.0,34.0
158,195.0,40.0,23.0
159,199.0,36.0,24.0
160,176.0,43.0,39.0
161,187.0,46.0,25.0
162,197.0,41.0,21.0
163,182.0,46.0,30.0
164,158.0,58.0,42.0
165,183.0,41.0,34.0
166,192.0,38.0,27.0
167,181.0,44.0,32.0
168,157.0,57.0,44.0
169,177.0,49.0,32.0
170,183.0,51.0,25.0
171,181.0,45.0,32.0
172,165.0,53.0,41.0
173,188.0,43.0,27.0
174,186.0,45.0,27.0
175,166.0,53.0,39.0
176,171.0,51.0,36.0
177,180.0,45.0,34.0
178,176.0,48.0,34.0
179,165.0,59.0,34.0
180,175.0,54.0,29.0
181,182.0,50.0,27.0
182,180.0,48.0,30.0
183,162.0,53.0,43.0
184,180.0,44.0,34.0
185,183.0,44.0,31.0
186,186.0,43.0,29.0
187,155.0,63.0,40.0
188,180.0,53.0,25.0
189,189.0,45.0,25.0
190,176.0,50.0,31.0
191,167.0,59.0,32.0
192,182.0,46.0,30.0
193,179.0,54.0,25.0
194,168.0,61.0,29.0
195,170.0,61.0,27.0
196,172.0,57.0,29.0
197,180.0,49.0,29.0
198,168.0,48.0,42.0
199,174.0,47.0,38.0
200,174.0,52.0,32.0
201,179.0,48.0,31.0
202,154.0,68.0,36.0
203,183.0,52.0,24.0
204,176.0,49.0,33.0
205,176.0,47.0,34.0
206,167.0,59.0,31.0
207,173.0,50.0,35.0
208,181.0,48.0,28.0
209,187.0,46.0,26.0
210,140.0,62.0,56.0
211,191.0,49.0,19.0
212,208.0,35.0,15.0
213,167.0,56.0,35.0
214,178.0,57.0,23.0
215,190.0,50.0,18.0
216,193.0,46.0,20.0
217,138.0,69.0,51.0
218,136.0,56.0,65.0
219,184.0,57.0,17.0
220,198.0,41.0,19.0
221,142.0,67.0,49.0
222,119.0,93.0,46.0
223,144.0,72.0,42.0
224,153.0,64.0,41.0
225,156.0,63.0,40.0
226,160.0,52.0,46.0
227,154.0,49.0,55.0
228,157.0,46.0,55.0
229,156.0,47.0,54.0
230,151.0,51.0,56.0
231,135.0,62.0,61.0
232,146.0,55.0,57.0
233,126.0,63.0,69.0
